ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,valuation_raw_metric,valuation_mcap_mm,valuation_denom_trials_total,valuation_denom_trials_p1,valuation_denom_trials_p2,valuation_denom_trials_p3,valuation_denom_trials_reg,valuation_denom_trials_other,valuation_phase_weighted_trials,valuation_metric_pw,valuation_pct_overall,valuation_pct_in_size_bucket,valuation_size_bucket,valuation_applicable,valuation_notes,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos,pit_trials_total,pit_trials_eligible,pit_trials_filtered,pit_trials_no_date,clinical_lead_phase,clinical_lead_nct_id,clinical_recency_days,clinical_score_raw,catalyst_event_count_upcoming,catalyst_confidence_m3,catalyst_window_days_m3,catalyst_window_bucket_m3,catalyst_next_date,catalyst_top_event_type,catalyst_top_event_date
OPK,1,87.64,1.884,0.1507,0.354,-0.3823529458513447,2,0.2563,1.388,0.354,0.354,0.31800864788111155,-0.3823529458513447,-0.3823529458513447,-0.3823529458513447,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,small,True,30.10,60,-0.2618,50.00,38.08,10.27,50.00,1,,57.00,LOW,LOW,85.65,ev_revenue,0.8000,2.07,1000.166272,15,1,2,2,1,9,11.75,85.12,0.7,0.4231,small,True,commercial_revenue_threshold; valuation_ev_revenue,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.95,15,15,0,0,approved,NCT07135453,20,74.69,3,LOW,179,91_180,2026-08-01,CT_PRIMARY_COMPLETION,2026-08-01
HRMY,2,85.09,1.5718,0.1257,0.3158,-0.10643502672464707,2,0.1710,0.836,0.3158,0.3158,0.3112280735879419,-0.10643502672464707,-0.10643502672464707,-0.10643502672464707,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,mid,True,43.58,60,-0.0892,65.90,52.84,22.37,65.71,4,Great Point Partners,66.00,MEDIUM,HIGH,90.00,ev_cfo,0.8000,7.21,2103.419136,13,2,2,6,1,2,18.5,113.7,0.9156,0.9815,mid,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84,13,13,0,0,approved,NCT05581576,20,72.15,2,MED,57,31_90,2026-04-01,CT_PRIMARY_COMPLETION,2026-04-01
INCY,3,80.65,1.2364,0.0989,0.3319,-0.0406,2,0.2346,0.2617,0.3319,0.3319,0.32862788013861116,-0.0406,-0.0406,-0.0406,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,39.30,60,-0.1486,80.00,86.00,100.00,80.00,6,Baker Bros Advisors; Casdin Capital; Sectoral Asset Management,61.00,LOW,LOW,61.69,ev_cfo,0.8000,19.26,19646.01344,471,183,186,71,3,28,435.5,45.11,0.6169,0.5833,large,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,59.83,exceptional,Novartis; Eli Lilly,71.0,BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87,471,471,0,0,approved,NCT05696392,4,71.87,47,HIGH,12,0_30,2026-02-15,CT_PRIMARY_COMPLETION,2026-03-01
VRTX,4,74.65,0.9385,0.0751,0.2519,-0.0860,2,0.2697,0.4574,0.2519,0.2519,0.28520650713977697,-0.0860,-0.0860,-0.0860,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,44.77,60,-0.0726,80.00,86.00,100.00,80.00,8,Orbimed Advisors; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,60.00,LOW,LOW,35.71,ev_cfo,0.8000,36.63,120477.966336,277,86,77,86,5,23,312.75,385.22,0.3571,0.1944,large,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,55.08,exceptional,CRISPR Therapeutics; Moderna,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.95,277,277,0,0,approved,NCT06887959,4,75.87,16,HIGH,28,0_30,2026-03-03,FDA_PDUFA_DATE,2026-03-30
INVA,5,73.28,0.8563,0.0685,0.3385,-0.12126537785588758,2,0.1955,0.445,0.3385,0.3385,0.33666194585860737,-0.12126537785588758,-0.12126537785588758,-0.12126537785588758,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,small,True,36.60,60,-0.1764,50.00,36.76,5.87,50.00,0,,63.00,LOW,MODERATE,88.96,ev_cfo,0.8000,9.03,1495.381248,5,0,0,1,1,3,5.75,260.07,0.8896,0.8103,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.80500,0.95,0.95,0.30,0.87,5,5,0,0,approved,NCT00097734,4,69.17,2,LOW,208,181_365,2026-08-30,CT_PRIMARY_COMPLETION,2026-08-30
ANIP,6,72.39,0.8118,0.0649,0.3545,-0.17738695000883323,2,0.0607,0.506,0.3545,0.3545,0.3527926597698189,-0.17738695000883323,-0.17738695000883323,-0.17738695000883323,live,live,live,0.9,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,small,True,31.72,60,-0.2406,50.00,37.94,9.81,61.43,5,Deep Track Capital,63.00,MEDIUM,MODERATE,75.97,ev_cfo,0.8000,13.37,1838.20096,14,0,2,4,6,2,28.5,64.5,0.7597,0.569,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,76.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.87,14,14,0,0,approved,NCT07346079,14,71.13,2,LOW,148,91_180,2026-07-01,CT_PRIMARY_COMPLETION,2026-07-15
ALKS,7,71.02,2.597,0.2078,0.3674,-0.07023321290402099,2,0.4767,0.429,0.3674,0.3674,0.36387535657863546,-0.07023321290402099,-0.07023321290402099,-0.07023321290402099,live,live,live,0.9,1.0500,neutral,def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,39.71,15.71,80.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,70.00,MEDIUM,MODERATE,77.27,ev_cfo,0.8000,12.99,5595.83232,111,29,25,42,10,5,154.75,36.16,0.7727,0.9074,mid,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.84,111,111,0,0,approved,NCT02634320,14,76.65,3,LOW,118,91_180,2026-06-01,CT_PRIMARY_COMPLETION,2026-06-01
EBS,8,67.50,2.9542,0.2363,1.0204,-0.19345660365662232,2,0.2778,2.306,1.0204,1.0204,0.6180585920226072,-0.19345660365662232,-0.19345660365662232,-0.19345660365662232,live,live,live,0.9,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,late,small,True,44.04,60,-0.0828,50.00,39.34,14.48,65.71,3,Deerfield Management,71.00,MEDIUM,MODERATE,79.87,ev_cfo,0.8000,10.99,605.001472,64,23,15,10,5,11,64.25,9.42,0.7987,0.6379,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.84,64,64,0,0,approved,NCT02443623,18,76.15,3,LOW,148,91_180,2026-07-01,CT_PRIMARY_COMPLETION,2026-08-01
NVAX,9,66.07,2.2913,0.1833,0.4814,-0.3487,2,0.5142,2.371,0.4814,0.4814,0.6988331228640272,-0.3487,-0.3487,-0.3487,live,live,live,0.9,0.9800,neutral,def_mult_rsi_overbought_0.98; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,47.99,60,-0.0280,60.40,51.38,30.34,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,0.95,1437.30368,53,15,22,13,3,0,64.5,22.28,0.8714,0.8077,small,True,commercial_revenue_threshold; valuation_ev_revenue,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95,53,53,0,0,approved,NCT06065176,6,76.42,5,MED,72,31_90,2026-04-16,CT_PRIMARY_COMPLETION,2026-04-16
BEAM,10,63.55,2.1144,0.1692,0.7330,-0.3508,1,0.6600,2.073,0.7330,0.7330,0.8123446111217015,-0.3508,-0.3508,-0.3508,live,live,live,0.9,1.00,neutral,def_warn_drawdown_gt_30pct,alpha,False,,none,early,mid,True,54.46,60,0.0620,50.00,36.39,4.63,50.00,0,,80.00,MEDIUM,HIGH,19.64,mcap_per_trial,0.8000,350.34,2802.73792,8,6,0,0,0,2,3.5,800.78,0.1745,0.5667,mid,True,valuation_mcap_per_trial,61.81,exceptional,Pfizer; Eli Lilly,78.2,BTD; ODD; RMAT,100.0,highly_crowded,75.0,diversified,0.80000,0.95,0.95,0.30,0.50,8,8,0,0,phase 1,NCT06934382,6,46.25,1,LOW,115,91_180,2026-05-29,CT_STUDY_COMPLETION,2026-05-29
